city,enroll,name,rate,state
Bethlehem,154,Triangle Tech Inc Bethlehem,73.2%,PA
Sunbury,54,Triangle Tech Inc Sunbury,73.5%,PA
West Lafayette,50344,Purdue University Main Campus,73.7%,IN
San Diego,64,Platt College San Diego,74.8%,CA
San Diego,4445,Point Loma Nazarene University,74.2%,CA
Seattle,3443,Seattle Pacific University,73.3%,WA
Cleveland,343,Cleveland Institute of Music,75%,OH
Portland,3499,Lewis & Clark College,76%,OR
Huntingdon,1290,Juniata College,75.9%,PA
Pittsburgh,8300,Duquesne University,75.9%,PA
Raleigh,36831,North Carolina State University at Raleigh,75.1%,NC
Upland,1982,Taylor University,75.7%,IN
Rock Island,2367,Augustana College,75.1%,IL
Virginia Beach,466,Advanced Technology Institute,74.2%,VA
San Luis Obispo,22231,California Polytechnic State University San Luis Obispo,75.4%,CA
Fairfield,2337,Illinois Eastern Community Colleges Frontier Community Coll,74%,IL
Georgetown,1504,Southwestern University,74%,TX
Hamden,9217,Quinnipiac University,75.9%,CT
Sherman,1228,Austin College,74.6%,TX
Dayton,55,International College of Broadcasting,74.7%,OH
Rochester,2639,Nazareth College,74.2%,NY
New York,1047,Manhattan School of Music,74.9%,NY
Annville,2041,Lebanon Valley College,74.9%,PA
Houghton,895,Houghton College,74.4%,NY
Hattiesburg,155,Antonelli College Hattiesburg,57.5%,MS
Wheeling,700,Wheeling Jesuit University,57.9%,WV
Mount Hope,199,Appalachian Bible College,57.9%,WV
Morgantown,25474,West Virginia University,57.2%,WV
Morgantown,558,West Virginia Junior College Morgantown,57.7%,WV
Bridgewater,1463,Bridgewater College,57.1%,VA
Burlington,3825,Champlain College,57.7%,VT
Chester,5875,Widener University Main Campus,55.2%,PA
Shippensburg,5667,Shippensburg University of Pennsylvania,55.8%,PA
East Stroudsburg,5129,East Stroudsburg University of Pennsylvania,55%,PA
Reading,1465,Albright College,55.4%,PA
Due West,825,Erskine College,55.6%,SC
Bryn Athyn,258,Bryn Athyn College of the New Church,55.3%,PA
Tulsa,4711,Oral Roberts University,55.7%,OK
Aurora,222,Platt College Aurora,50%,CO
Arlington,3555,Marymount University,50.4%,VA
Emory,1372,Emory and Henry College,50.9%,VA
Bellingham,1915,Bellingham Technical College,50.7%,WA
Denton,42441,University of North Texas,51%,TX
Harrogate,5118,Lincoln Memorial University,50%,TN
Seguin,1468,Texas Lutheran University,45.3%,TX
Brownwood,931,Howard Payne University,45.8%,TX
Belton,3732,University of Mary Hardin Baylor,45.3%,TX
Petersburg,4300,Virginia State University,45.2%,VA
Memphis,935,Baptist Memorial College of Health Sciences,50.9%,TN
Cheney,10892,Eastern Washington University,45.8%,WA
Nashville,942,Fisk University,45.9%,TN
Bemidji,4279,Bemidji State University,45.7%,MN
Milton,2242,Curry College,45.8%,MA
Haviland,199,Barclay College,45.9%,KS
Presque Isle,1590,University of Maine at Presque Isle,45.2%,ME
Manhattan,158,Manhattan Christian College,45.3%,KS
Lafayette,16225,University of Louisiana at Lafayette,46.9%,LA
Estherville,1803,Iowa Lakes Community College,45.4%,IA
Honolulu,4586,Hawaii Pacific University,45.5%,HI
Rome,1460,Shorter University,45.7%,GA
Clarksville,784,University of the Ozarks,45.8%,AR
Deerfield,1330,Trinity International University,45.7%,IL
Colorado Springs,12031,University of Colorado Colorado Springs,45.7%,CO
Saint Leo,9523,Saint Leo University,45.2%,FL
Bellevue,6,Daymar College Bellevue,44.6%,KY
Shepherdstown,3015,Shepherd University,44.1%,WV
Watertown,1066,Maranatha Baptist Bible College,44.3%,WI
West Liberty,2291,West Liberty University,44.2%,WV
Huntington,11023,Marshall University,44.6%,WV
Des Moines,1757,Grand View University,46.9%,IA
Centralia,2282,Kaskaskia College,46.3%,IL
Craftsbury Common,126,Sterling College,44.2%,VT
Washington,1433,Gallaudet University,46.2%,DC
Danbury,4802,Western Connecticut State University,46.5%,CT
Madison,1182,North Florida Community College,46.5%,FL
Bakersfield,9,Santa Barbara Business College Bakersfield,46.7%,CA
Greenwood,3825,Lander University,45.4%,SC
Monmouth,4029,Western Oregon University,45.3%,OR
Anchorage,2215,Charter College Anchorage,46.2%,WA
Orangeburg,1866,Claflin University,45.6%,SC
Fullerton,1138,Hope International University,46.1%,CA
Jackson,14,Daymar College Jackson,45.3%,OH
Rosemont,635,Rosemont College,45.2%,PA
Defiance,585,Defiance College,45%,OH
Greensboro,13322,North Carolina A & T State University,45.7%,NC
Old Westbury,6696,New York Institute of Technology,45.4%,NY
Omaha,15328,University of Nebraska at Omaha,45.6%,NE
Fremont,1671,Midland University,46%,NE
Canton,932,Culver Stockton College,45.7%,MO
Minneapolis,1034,North Central University,45.3%,MN
Bethany,2159,Southern Nazarene University,46.2%,OK
Jamestown,1276,Jamestown College,46.8%,ND
Winston-Salem,5226,Winston Salem State University,46%,NC
Montreat,1013,Montreat College,46.8%,NC
Brooklyn,3069,United Talmudical Seminary,46.5%,NY
Buffalo,7173,SUNY College at Buffalo,46.8%,NY
Klamath Falls,4910,Oregon Institute of Technology,46.6%,OR
Granite Falls,3347,Minnesota West Community and Technical College,46.6%,MN
Utica,2850,SUNY Institute of Technology at Utica Rome,46.1%,NY
Farmingdale,9348,Farmingdale State College,46.2%,NY
Flushing,620,Rabbinical Seminary of America,46%,NY
Brooklyn,378,Rabbinical Academy Mesivta Rabbi Chaim Berlin,46.2%,NY
Missoula,10106,The University of Montana,46.2%,MT
Crookston,2304,University of Minnesota Crookston,46.2%,MN
Saint Paul,5545,Concordia University Saint Paul,46.5%,MN
North Dartmouth,7717,University of Massachusetts Dartmouth,46.5%,MA
Weston,3599,Regis College,46.4%,MA
Dudley,1434,Nichols College,46.2%,MA
Tuskegee,2654,Tuskegee University,46.3%,AL
Birmingham,539,Tri State Institute,45.1%,AL
Montgomery,264,Fortis College Montgomery,45.6%,AL
Cary,377,Miller Motte College Cary,45.5%,NC
North Miami,676,Johnson & Wales University North Miami,45.2%,FL
Richmond,455,Fortis College Richmond,45.1%,VA
Williamsport,4240,Pennsylvania College of Technology,45.8%,PA
Fort Lauderdale,85,City College Fort Lauderdale,45.5%,FL
Rock Springs,2453,Western Wyoming Community College,45.1%,WY
Honolulu,2214,Chaminade University of Honolulu,47.6%,HI
Greeley,10348,University of Northern Colorado,47%,CO
Huntsville,9636,University of Alabama at Huntsville,47.8%,AL
Phoenix,581,National Paralegal College,46%,AZ
Gainesville,2551,Brenau University,47.5%,GA
Demorest,2060,Piedmont College,47.8%,GA
Boca Raton,30155,Florida Atlantic University,47.6%,FL
Denver,1849,Rocky Mountain College of Art and Design,47.1%,CO
Ave Maria,1302,Ave Maria University,46.3%,FL
Pasadena,251,Los Angeles College of Music,46.2%,CA
Fort Myers,15909,Florida Gulf Coast University,46.1%,FL
Highland Heights,181,ATS Institute of Technology,46.7%,OH
Brooklyn,225,Rabbinical College of Ohr Shimon Yisroel,46%,NY
Des Moines,34,Vatterott College Des Moines,46.7%,IA
Milwaukee,1273,Mount Mary College,46.5%,WI
Martin,6712,The University of Tennessee Martin,46.4%,TN
Commerce,11504,Texas A & M University Commerce,46.8%,TX
Jefferson City,2835,Carson Newman College,46.8%,TN
Norfolk,1324,Virginia Wesleyan College,47.7%,VA
Nashville,191,John A Gupton College,47.9%,TN
San Antonio,7508,University of the Incarnate Word,47.6%,TX
Warwick,1907,New England Institute of Technology,47.1%,RI
Abington,3746,Penn State Abington,47.8%,PA
Pepper Pike,1079,Ursuline College,47.3%,OH
Albuquerque,22139,University of New Mexico Main Campus,47.9%,NM
Uniontown,640,Penn State Fayette Eberly Campus,47.9%,PA
Socorro,1734,New Mexico Institute of Mining and Technology,47.1%,NM
Boston,492,School of the Museum of Fine Arts Boston,47.7%,MA
Norfolk,5345,Northeast Community College,47.2%,NE
Tougaloo,713,Tougaloo College,47.2%,MS
Nashua,2424,Rivier College,47.2%,NH
Salem,7131,Salem State University,47.8%,MA
Crestview Hills,1980,Thomas More College,47.3%,KY
Epworth,67,Divine Word College,47.4%,IA
Sioux City,1000,Briar Cliff University,47.3%,IA
Springfield,3944,University of Illinois at Springfield,48.3%,IL
Saint Mary of the Woods,1127,Saint Mary of the Woods College,47.6%,IN
Storm Lake,1959,Buena Vista University,48.2%,IA
Boise,89,Boise Bible College,48.4%,ID
Young Harris,1407,Young Harris College,48.5%,GA
Temple Terrace,535,Florida College,48%,FL
West Palm Beach,3687,Palm Beach Atlantic University West Palm Beach,48.7%,FL
Belmont,203,Notre Dame de Namur University,48.3%,CA
Phoenix,1053,Arizona Christian University,48.6%,AZ
Columbia,438,Medix School Fortis College,47%,SC
Graceville,446,The Baptist College of Florida,48.9%,FL
Northridge,40108,California State University Northridge,48.5%,CA
Miami,161,Acupuncture and Massage College,47.8%,FL
Schaumburg,383,The Illinois Institute of Art Schaumburg,47.7%,IL
Atlanta,35,Shorter University College of Adult & Professional Programs,47.4%,GA
Tacoma,4106,Bates Technical College,47.3%,WA
New York,384,The King's College,47.9%,NY
Santa Fe,449,St John's College,47.6%,NM
Roanoke,13,Skyline College Roanoke,47.4%,VA
Johnstown,91,Cambria Rowe Business College Johnstown,48.8%,PA
Portland,410,Warner Pacific College,48.8%,OR
Lakewood,47,Virginia Marti College of Art and Design,49%,OH
Chillicothe,47,Daymar College Chillicothe,48.3%,OH
Edmond,2181,Oklahoma Christian University,48.5%,OK
Teaneck,7467,Fairleigh Dickinson University Metropolitan Campus,48.5%,NJ
Wayne,4580,Wayne State College,48.9%,NE
Alfred,3414,SUNY College of Technology at Alfred,48.8%,NY
Amherst,2642,Daemen College,48.3%,NY
Curtis,282,Nebraska College of Technical Agriculture,48.6%,NE
Jackson,4278,Belhaven University,48.8%,MS
Marquette,7214,Northern Michigan University,48.1%,MI
Omaha,1011,College of Saint Mary,48.1%,NE
Ann Arbor,751,Cleary University,48%,MI
Brookline,118,Hellenic College Holy Cross Greek Orthodox School of Theology,48.7%,MA
Morgan City,190,South Central Louisiana Technical College Young Memorial Campus,48.1%,LA
Pittsburg,6017,Pittsburg State University,48.9%,KS
Lamoni,1427,Graceland University Lamoni,53.1%,IA
Shreveport,542,Centenary College of Louisiana,53.4%,LA
Louisville,22140,University of Louisville,53.2%,KY
Hesston,331,Hesston College,48.2%,KS
Des Moines,348,AIB College of Business,53.6%,IA
Fort Wayne,2196,University of Saint Francis Fort Wayne,53.2%,IN
Denver,217,Bel Rea Institute of Animal Technology,51.9%,CO
Conway,310,Miller Motte Technical College,50.9%,SC
Flagstaff,28711,Northern Arizona University,51.8%,AZ
Memphis,192,Visible Music College,50%,TN
Chattanooga,1010,Miller Motte Technical College Chattanooga,50.3%,TN
Broadview Heights,117,Vatterott College Cleveland,50.4%,OH
Honolulu,131,Remington College Honolulu Campus,50.6%,HI
Madison,270,Nossi College of Art,50.8%,TN
Wilmington,1116,Goldey Beacom College,50%,DE
Redding,993,Simpson University,51%,CA
Tarzana,493,Columbia College Hollywood,50%,CA
San Francisco,26899,San Francisco State University,50.5%,CA
Hollywood,777,Musicians Institute,50.3%,CA
Chesapeake,224,Aviation Institute of Maintenance Chesapeake,49%,VA
Beckley,90,Valley College Beckley,52.9%,WV
San Bernardino,19514,California State University San Bernardino,50%,CA
Fennimore,2520,Southwest Wisconsin Technical College,52.1%,WI
Oshkosh,14142,University of Wisconsin Oshkosh,52.6%,WI
Ashland,531,Northland College,52.1%,WI
Platteville,6773,University of Wisconsin Platteville,52.8%,WI
Cleveland,2322,Lakeshore Technical College,52.4%,WI
Cleveland,252,Remington College Cleveland Campus,52.1%,OH
Plymouth,2094,Lakeland University,52.3%,WI
Kirkland,1083,Northwest University,52.2%,WA
Seattle,455,Cornish College of the Arts,52.4%,WA
River Forest,6086,Concordia University Chicago,53.1%,IL
Macomb,7455,Western Illinois University,53.6%,IL
Ellensburg,10176,Central Washington University,52.5%,WA
Norfolk,23494,Old Dominion University,52.1%,VA
Idaho Falls,2156,Eastern Idaho Technical College,53.9%,ID
San Jose,37133,San Jose State University,53.8%,CA
Atlanta,36973,Georgia State University,53.6%,GA
Hartsville,1280,Coker College,50.7%,SC
Macon,734,Wesleyan College,53.5%,GA
Daytona Beach,9593,Embry Riddle Aeronautical University Daytona Beach,53.7%,FL
Lehman,438,Penn State Wilkes Barre,50.5%,PA
Anderson,4008,Anderson University,50.2%,SC
Rochester,126,Minnesota School of Business Rochester,48.9%,MN
Miami,55,City College Miami,48.8%,FL
Tulsa,384,Career Point College,48.8%,OK
Manchester,337,New Hampshire Institute of Art,48.3%,NH
Chandler,71,International Baptist College,49%,AZ
Mobile,301,Fortis College Mobile,48.9%,AL
Green Bay,9780,University of Wisconsin Green Bay,48.1%,WI
Lacey,1616,Saint Martin's University,48.5%,WA
Lynchburg,94709,Liberty University,48.6%,VA
Cedar City,13611,Southern Utah University,48.5%,UT
Fond Du Lac,1445,Marian University,48.3%,WI
Columbia,1389,Columbia College,48.5%,SC
Phoenixville,583,University of Valley Forge,49%,PA
Bradford,1164,University of Pittsburgh Bradford,48.2%,PA
Philadelphia,1505,Chestnut Hill College,48.2%,PA
Lock Haven,2920,Lock Haven University,48.7%,PA
Mankato,14576,Minnesota State University Mankato,49.5%,MN
Wyomissing,334,Berks Technical Institute,48.1%,PA
Upper Burrell,585,Penn State New Kensington,48.9%,PA
Frostburg,4452,Frostburg State University,50%,MD
Midway,1390,Midway University,49.8%,KY
Wichita,2617,Newman University,49.1%,KS
Winfield,1282,Southwestern College,49.5%,KS
Dekalb,16234,Northern Illinois University,50%,IL
Des Moines,951,Mercy College of Health Sciences,49.6%,IA
Rensselaer,972,Saint Josephs College,49.4%,IN
Edwardsville,13010,Southern Illinois University Edwardsville,49.9%,IL
Toccoa Falls,1764,Toccoa Falls College,49.5%,GA
Pensacola,13288,The University of West Florida,49.4%,FL
Winter Park,25622,Full Sail University,49.6%,FL
Lagrange,643,LaGrange College,49.1%,GA
Riverside,1738,La Sierra University,49.8%,CA
Visalia,2240,San Joaquin Valley College Visalia,49.9%,CA
Pensacola,668,Fortis Institute Pensacola,48.6%,FL
Columbus,679,Chamberlain College of Nursing Ohio,48.4%,OH
Nashua,741,Daniel Webster College,51.3%,NH
Throggs Neck,1545,SUNY Maritime College,51.3%,NY
Brooklyn,15938,CUNY Brooklyn College,51.8%,NY
Westerville,904,Fortis College Columbus,48.5%,OH
Buies Creek,5622,Campbell University,51.8%,NC
Kansas City,16003,University of Missouri Kansas City,51.1%,MO
Springfield,2100,Evangel University,51.4%,MO
Fayette,1144,Central Methodist University College of Liberal Arts & Sciences,51.4%,MO
Dearborn,8331,University of Michigan Dearborn,51.6%,MI
Kansas City,1376,Avila University,51.2%,MO
North Adams,994,Massachusetts College of Liberal Arts,51.9%,MA
Pineville,158,Clear Creek Baptist Bible College,51.6%,KY
Chicago,3749,Saint Xavier University,51.5%,IL
Ina,2002,Rend Lake College,51.9%,IL
Greenville,1047,Greenville University,51.6%,IL
Chicago,145,American Academy of Art,51.2%,IL
Lilburn,172,Gwinnett College Lilburn,51.7%,GA
West Haven,7513,University of New Haven,52%,CT
Mansfield,1796,Mansfield University of Pennsylvania,50.7%,PA
Atlanta,2554,Morehouse College,51.9%,GA
Tulsa,684,Spartan College of Aeronautics and Technology,50.1%,OK
Cincinnati,305,Good Samaritan College of Nursing & Health Science,50%,OH
Keuka Park,1287,Keuka College,50.2%,NY
Brooklyn,129,Yeshiva Karlin Stolin,50%,NY
Lakewood,2126,Georgian Court University,50.6%,NJ
New London,838,Colby Sawyer College,50.9%,NH
Omaha,298,Grace University,50.4%,NE
Saint Louis,955,Fontbonne University,50.8%,MO
Bozeman,16788,Montana State University,50.9%,MT
Southfield,2955,Lawrence Technological University,50%,MI
Blue Mountain,989,Blue Mountain College,50.3%,MS
Beverly,341,Montserrat College of Art,51%,MA
Nampa,2044,Northwest Nazarene University,50.7%,ID
Quincy,1188,Quincy University,50.5%,IL
Elgin,1173,Judson University,50.9%,IL
Statesboro,27076,Georgia Southern University,50.8%,GA
Central,1300,Southern Wesleyan University,49.4%,SC
Murray,9414,Murray State University,50.3%,KY
Hamburg,784,Hilbert College,49.4%,NY
Wilmington,1036,Wilmington College,49.3%,OH
Painesville,920,Lake Erie College,49.4%,OH
Salisbury,1207,Catawba College,49%,NC
York,948,Penn State York,49%,PA
Wayne,9369,William Paterson University of New Jersey,49.7%,NJ
Clarion,3922,Clarion University of Pennsylvania,49.4%,PA
Cape Girardeau,9851,Southeast Missouri State University,49.7%,MO
Berlin,617,White Mountains Community College,49.5%,NH
Joplin,559,Ozark Christian College,49.1%,MO
Union,12759,Kean University,49.4%,NJ
Pablo,620,Salish Kootenai College,49.5%,MT
Morristown,1198,College of Saint Elizabeth,49.4%,NJ
Bolivar,2709,Southwest Baptist University,49.5%,MO
Princeton,50,Valley College Princeton,49.5%,WV
Seaside,7503,California State University Monterey Bay,49.4%,CA
Saint Charles,7003,Lindenwood University,49.3%,MO
Maryville,7870,Northwest Missouri State University,49.6%,MO
Smyrna,516,Fortis College,49.2%,GA
Hattiesburg,14146,University of Southern Mississippi,49.1%,MS
Scranton,241,Fortis Institute Scranton,49.5%,PA
Virginia Beach,10330,Regent University,49.2%,VA
Castleton,2369,Castleton State College,49.6%,VT
Bristol,1656,King College,49.4%,TN
Houston,47031,University of Houston,49.5%,TX
La Crosse,2520,Viterbo University,49.9%,WI
San Marcos,16255,California State University San Marcos,49.9%,CA
Logan,27426,Utah State University,49.2%,UT
Kansas City,387,Calvary Bible College and Theological Seminary,52.2%,MO
Spring Arbor,2685,Spring Arbor University,52.8%,MI
Mankato,798,Bethany Lutheran College,52.2%,MN
Quincy,94,Vatterott College Quincy,52.8%,IL
Worcester,5417,Worcester State University,52%,MA
Olathe,1584,MidAmerica Nazarene University,52.2%,KS
Ruston,11037,Louisiana Tech University,52.3%,LA
Chicago,2749,North Park University,53%,IL
Eureka,476,Eureka College,52%,IL
Atlanta,1446,Oglethorpe University,52.2%,GA
Lisle,3378,Benedictine University,52.2%,IL
Miami,353,Florida Career College Miami,52.8%,FL
Aurora,280,Ecotech Institute,51.5%,CO
West Hartford,2132,University of Saint Joseph,52.8%,CT
Kettering,22,National College Dayton,51.5%,OH
Groton,522,University of Connecticut Avery Point,51.5%,CT
New Haven,8788,Southern Connecticut State University,52.3%,CT
Greenacres,694,Southeastern College,51.1%,FL
Aston,2212,Neumann University,52.3%,PA
Reading,2536,Alvernia University,52.3%,PA
Dubois,564,Penn State Dubois,52.4%,PA
New Concord,2171,Muskingum University,52.1%,OH
Aurora,342,Wells College,52.3%,NY
Wingate,3439,Wingate University,52.5%,NC
Boiling Springs,3441,Gardner Webb University,52.8%,NC
Bismarck,3794,University of Mary,52.3%,ND
Bluffton,791,Bluffton University,52.7%,OH
New York,1442,LIM College,52.5%,NY
New York,24099,CUNY Hunter College,52.6%,NY
Lincoln,774,Union College,52.6%,NE
Fulton,1737,William Woods University,52.3%,MO
Bronx,7256,Monroe College Main Campus,53%,NY
Columbia,593,Stephens College,52%,MO
Merrimack,89,Thomas More College of Liberal Arts,52.9%,NH
Kansas City,390,Pinnacle Career Institute South Kansas City,52.3%,MO
Warrensburg,10530,University of Central Missouri,52.6%,MO
Abilene,1937,Hardin Simmons University,52.7%,TX
Laie,2893,Brigham Young University Hawaii,52.4%,HI
State College,274,South Hills School of Business & Technology,52.3%,PA
Rapid City,2416,South Dakota School of Mines and Technology,52.3%,SD
Tigerville,2273,North Greenville University,52.6%,SC
Largo,73,Fortis College Largo,52.9%,FL
St Charles,220,Vatterott College St Charles,52.9%,MO
Redmond,1197,DigiPen Institute of Technology,52.1%,WA
Wichita,46,Vatterott College Wichita,52.3%,KS
Stamford,2405,University of Connecticut Stamford,52.6%,CT
Ventura,298,Santa Barbara Business College Ventura,52%,CA
Sioux City,2319,Morningside College,54.2%,IA
Indianapolis,5325,University of Indianapolis,54.1%,IN
Angola,4024,Trine University,54.9%,IN
Manhattan,896,Manhattan Area Technical College,54.5%,KS
North Manchester,1303,Manchester University,54.3%,IN
Olney,992,Illinois Eastern Community Colleges Olney Central College,54.8%,IL
West Hartford,5917,University of Hartford,54.5%,CT
Turlock,10481,California State University Stanislaus,54%,CA
New Britain,9653,Central Connecticut State University,54.8%,CT
Jacksonville,16594,University of North Florida,55%,FL
San Diego,127,Design Institute of San Diego,54.4%,CA
Lexington,389,MedTech College Lexington Campus,53%,KY
Redlands,483,Community Christian College,53.8%,CA
Denver,397,Johnson & Wales University Denver,53.4%,CO
Roanoke,1128,Jefferson College of Health Sciences,54%,VA
College Place,1584,Walla Walla University,53.8%,WA
San Marcos,37864,Texas State University,54%,TX
Murfreesboro,63,Daymar College Murfreesboro,53.8%,TN
Gainesville,147,City College Gainesville,51%,FL
Nashville,3717,Trevecca Nazarene University,51.3%,TN
Randolph Center,1452,Vermont Technical College,51.8%,VT
Murray,321,Eagle Gate College Murray,51.3%,UT
Huntsville,21612,Sam Houston State University,51.1%,TX
Cookeville,9840,Tennessee Technological University,51.2%,TN
Radnor,1760,Cabrini College,51.9%,PA
Memphis,116,Memphis College of Art,51.2%,TN
California,6509,California University of Pennsylvania,51.1%,PA
Yankton,1236,Mount Marty College,51%,SD
Mont Alto,830,Penn State Mont Alto,51.1%,PA
Center Valley,912,Penn State Lehigh Valley,51.9%,PA
Shawnee,1510,Oklahoma Baptist University,51.6%,OK
Swannanoa,803,Warren Wilson College,51.7%,NC
Sheffield Village,183,Ohio Business College Sheffield,51.5%,OH
Portland,5342,Concordia University Portland,51.2%,OR
Cincinnati,2064,College of Mount St. Joseph,51.7%,OH
Hickory,2405,Lenoir Rhyne University,51%,NC
Maryville,1046,Maryville College,53.4%,TN
Memphis,1794,Christian Brothers University,53.7%,TN
Dallas,216,Wade College,53.1%,TX
Rock Hill,5174,Winthrop University,53.3%,SC
Cleveland,4505,Lee University,53.4%,TN
Hazleton,676,Penn State Hazleton,53.7%,PA
Akron,63,Ohio College of Massotherapy Inc,53.7%,OH
Ravenna,15,Fortis College Ravenna,53.5%,OH
New York,13479,Pace University New York,53.9%,NY
Charlotte,30448,University of North Carolina at Charlotte,53.9%,NC
Brooklyn Heights,2489,St. Francis College,53.4%,NY
Manchester,145533,Southern New Hampshire University,53.5%,NH
Jersey City,3009,Saint Peter's University,53.8%,NJ
Jamestown,287,Jamestown Business College,53.7%,NY
Framingham,4495,Framingham State University,53.8%,MA
Clinton,4250,Mississippi College,53.8%,MS
Springfield,22925,Missouri State University Springfield,53.5%,MO
Lima,2741,University of Northwestern Ohio,55.2%,OH
Kent,26597,Kent State University at Kent,55.6%,OH
Bismarck,474,United Tribes Technical College,55.1%,ND
Boston,7943,Berklee College of Music,53%,MA
Fargo,12461,North Dakota State University Main Campus,55%,ND
Grantsboro,307,Pamlico Community College,55.6%,NC
Greensboro,19038,University of North Carolina at Greensboro,55.9%,NC
Livonia,2444,Madonna University,55.9%,MI
Findlay,4811,The University of Findlay,55.2%,OH
Oneonta,1170,Hartwick College,55.8%,NY
Flint,1858,Kettering University,55.5%,MI
Laramie,11479,University of Wyoming,54.7%,WY
Shell Lake,2656,Wisconsin Indianhead Technical College,54.8%,WI
Adrian,1871,Adrian College,55.2%,MI
Waterbury,795,University of Connecticut Tri Campus,54.9%,CT
Springfield,162,Vatterott College Springfield,54.2%,MO
Hayward,306,Lac Courte Oreilles Ojibwa Community College,54.8%,WI
Milwaukee,898,Milwaukee Institute of Art & Design,54.5%,WI
Buckhannon,1054,West Virginia Wesleyan College,54.3%,WV
Winchester,4287,Shenandoah University,54.8%,VA
Lynchburg,550,Randolph College,54.5%,VA
Longview,3209,LeTourneau University,54.2%,TX
Houston,3877,University of St Thomas,54.9%,TX
Dayton,1550,Bryan College,54.6%,TN
Oakdale,1240,Pittsburgh Technical College,54.9%,PA
Vermillion,9464,University of South Dakota,54%,SD
Greensburg,1320,University of Pittsburgh Greensburg,54.4%,PA
Henderson,2320,Freed Hardeman University,54.7%,TN
Sioux Falls,1625,University of Sioux Falls,54.1%,SD
Johnstown,2121,University of Pittsburgh Johnstown,52.8%,PA
Kutztown,7673,Kutztown University of Pennsylvania,54.6%,PA
Farmington,1878,University of Maine at Farmington,56%,ME
Boston,6647,Suffolk University,55.5%,MA
Lowell,17597,University of Massachusetts Lowell,55.1%,MA
Sheldon,1716,Northwest Iowa Community College,55%,IA
Georgetown,1625,Georgetown College,55.8%,KY
Indianapolis,4071,Marian University,55.2%,IN
Miami,56664,Florida International University,56%,FL
Costa Mesa,2268,Vanguard University of Southern California,55.5%,CA
New Haven,1328,Albertus Magnus College,55.1%,CT
Birmingham,22289,University of Alabama at Birmingham,55%,AL
Fresno,25047,California State University Fresno,55.3%,CA
Mobile,1107,Spring Hill College,55.5%,AL
Vallejo,925,California Maritime Academy,55.9%,CA
Rochester,646,University of Minnesota Rochester,54%,MN
Jacksonville,697,Virginia College Jacksonville,54.4%,FL
Nashville,479,Fortis Institute Nashville,54.6%,TN
Cincinnati,562,Fortis College Cincinnati,54.7%,OH
Emeryville,253,Expression College for Digital Arts,54.3%,CA
Indiana,9298,Indiana University of Pennsylvania Main Campus,54%,PA
Pittsburgh,1984,Carlow University,54.4%,PA
Philadelphia,71,Hussian School of Art,54.2%,PA
Portland,595,Multnomah University,54.4%,OR
Canton,1306,Malone University,54.6%,OH
Grand Forks,13772,University of North Dakota,54.8%,ND
Camden,6569,Rutgers University Camden,54.9%,NJ
Potsdam,2607,SUNY College at Potsdam,54.5%,NY
New York,670,New York School of Interior Design,54.5%,NY
Bronx,2948,College of Mount Saint Vincent,54.8%,NY
Flushing,813,St Paul's School of Nursing Queens,54.8%,NY
Madison,3078,Fairleigh Dickinson University College at Florham,54.4%,NJ
Kalamazoo,18266,Western Michigan University,54.2%,MI
Fitchburg,6674,Fitchburg State University,54.9%,MA
Newton,1695,Lasell College,54.4%,MA
Winter Park,4,Fortis College Winter Park,56.5%,FL
Portland,491,Maine College of Art,54.1%,ME
Grand Rapids,1930,Cornerstone University,54.1%,MI
Grand Rapids,1362,Aquinas College,54.5%,MI
Willimantic,4319,Eastern Connecticut State University,56.3%,CT
Rohnert Park,7371,Sonoma State University,57%,CA
Baton Rouge,134,Remington College Baton Rouge Campus,55.5%,LA
Tulsa,88,Vatterott College Tulsa,55.4%,OK
Nashville,272,Remington College Nashville Campus,55.6%,TN
Oakland,1630,California College of the Arts,56.5%,CA
Laguna Beach,766,Laguna College of Art and Design,56.4%,CA
River Falls,5394,University of Wisconsin River Falls,55.7%,WI
Menomonie,7695,University of Wisconsin Stout,55.1%,WI
Olympia,2116,The Evergreen State College,55%,WA
Nashville,48,Daymar College Nashville,55.2%,TN
Renton,3097,Renton Technical College,55.8%,WA
Terrell,92,Southwestern Christian College,55.8%,TX
Salt Lake City,2665,Latter day Saints Business College,56%,UT
Brookings,11465,South Dakota State University,55.5%,SD
Collegedale,2719,Southern Adventist University,55%,TN
Anderson,67,Forrest College,55.9%,SC
Detroit,1620,College for Creative Studies,56.8%,MI
Hattiesburg,5738,William Carey University,56.1%,MS
Saint Bonifacius,1476,Crown College,56.8%,MN
Wyoming,1104,Grace Bible College,56%,MI
Minneapolis,759,Herzing University Minneapolis,56.1%,MN
Midland,2422,Northwood University Michigan,56.8%,MI
Baltimore,2184,Notre Dame of Maryland University,56.2%,MD
Berrien Springs,2927,Andrews University,56.4%,MI
Cambridge,4010,Lesley University,56.2%,MA
Quincy,647,Eastern Nazarene College,56.5%,MA
Unity,2439,Unity College,56.9%,ME
McPherson,842,McPherson College,56.5%,KS
Emporia,1365,Flint Hills Technical College,56%,KS
Monmouth,755,Monmouth College,56.6%,IL
Mount Carmel,865,Illinois Eastern Community Colleges Wabash Valley College,56.3%,IL
Honolulu,19098,University of Hawaii at Manoa,56.7%,HI
Lebanon,1958,McKendree University,56.1%,IL
Melbourne,7830,Florida Institute of Technology,56%,FL
